month,avg_price
2016-05-31,1240.138799
2016-06-30,1251.393551
2016-07-31,1248.026734
2016-08-31,1244.357848
2016-09-30,1258.267807
2016-10-31,1281.053646
2016-11-30,1297.95354
2016-12-31,1304.768284
2017-01-31,1300.525282
2017-02-28,1292.332145
2017-03-31,1280.593357
2017-04-30,1274.81188
2017-05-31,1287.053457
2017-06-30,1281.518833
2017-07-31,1294.959432
2017-08-31,1282.703876
2017-09-30,1306.611524
2017-10-31,1315.776827
2017-11-30,1338.798484
2017-12-31,1333.627542
2018-01-31,1335.402096
2018-02-28,1330.848504
2018-03-31,1330.050013
2018-04-30,1331.076432
2018-05-31,1336.862013
2018-06-30,1354.171584
2018-07-31,1353.326973
2018-08-31,1351.29485
2018-09-30,1360.894748
2018-10-31,1376.409748
2018-11-30,1395.154039
2018-12-31,1394.502404
2019-01-31,1399.779594
2019-02-28,1409.232672
2019-03-31,1419.765578
2019-04-30,1418.458286
2019-05-31,1425.871785
2019-06-30,1426.792897
2019-07-31,1434.831071
2019-08-31,1427.178599
2019-09-30,1436.130756
2019-10-31,1443.649361
2019-11-30,1451.905439
2019-12-31,1448.106868
2020-01-31,1453.542021
2020-02-29,1456.819553
2020-03-31,1461.839211
2020-04-30,1458.494491
2020-05-31,1464.779234
2020-06-30,1466.77031
2020-07-31,1477.196136
2020-08-31,1480.082018
2020-09-30,1500.546849
2020-10-31,1508.140813
2020-11-30,1514.020864
2020-12-31,1512.022039
2021-01-31,1526.387177
2021-02-28,1531.102455
2021-03-31,1540.600287
2021-04-30,1538.250075
2021-05-31,1551.105254
2021-06-30,1558.438685
2021-07-31,1566.027535
2021-08-31,1598.107816
2021-09-30,1629.188746
2021-10-31,1654.450096
2021-11-30,1654.662957
2021-12-31,1639.634193
2022-01-31,1642.35365
2022-02-28,1656.207394
2022-03-31,1701.689061
2022-04-30,1734.524466
2022-05-31,1754.061315
2022-06-30,1758.036641
2022-07-31,1794.279943
2022-08-31,1833.371819
2022-09-30,1839.426492
2022-10-31,1817.210162
2022-11-30,1794.033041
2022-12-31,1797.33222
2023-01-31,1792.642379
2023-02-28,1788.86042
2023-03-31,1792.578148
2023-04-30,1811.663758
2023-05-31,1824.113339
2023-06-30,1828.790046
2023-07-31,1835.552854
2023-08-31,1845.741213
2023-09-30,1861.867048
2023-10-31,1872.675019
