month,unit
2018-01-31,729.0
2018-02-28,768.0
2018-03-31,875.0
2018-04-30,984.0
2018-05-31,1037.0
2018-06-30,994.0
2018-07-31,985.0
2018-08-31,943.0
2018-09-30,896.0
2018-10-31,878.0
2018-11-30,799.0
2018-12-31,705.0
2019-01-31,702.0
2019-02-28,758.0
2019-03-31,842.0
2019-04-30,902.0
2019-05-31,959.0
2019-06-30,933.0
2019-07-31,858.0
2019-08-31,812.0
2019-09-30,791.0
2019-10-31,754.0
2019-11-30,639.0
2019-12-31,537.0
2020-01-31,563.0
2020-02-29,619.0
2020-03-31,685.0
2020-04-30,673.0
2020-05-31,728.0
2020-06-30,757.0
2020-07-31,721.0
2020-08-31,671.0
2020-09-30,630.0
2020-10-31,589.0
2020-11-30,533.0
2020-12-31,449.0
2021-01-31,450.0
2021-02-28,297.0
2021-03-31,448.0
2021-04-30,448.0
2021-05-31,482.0
2021-06-30,556.0
2021-07-31,577.0
2021-08-31,628.0
2021-09-30,583.0
2021-10-31,564.0
2021-11-30,508.0
2021-12-31,412.0
2022-01-31,415.0
2022-02-28,354.0
2022-03-31,447.0
2022-04-30,492.0
2022-05-31,553.0
2022-06-30,597.0
2022-07-31,663.0
2022-08-31,626.0
2022-09-30,622.0
2022-10-31,644.0
2022-11-30,559.0
2022-12-31,476.0
2023-01-31,466.0
2023-02-28,416.0
2023-03-31,462.0
2023-04-30,526.0
2023-05-31,532.0
2023-06-30,510.0
2023-07-31,491.0
2023-08-31,580.0
2023-09-30,552.0
2023-10-31,548.0
